,epoch,train_loss,val_loss
0,1,3015.3571219444275,0.0
1,2,2507.5682644844055,0.0
2,3,2346.211095094681,0.0
3,4,2931.64342212677,0.0
4,5,3824.521210670471,0.0
5,6,2835.5572867393494,0.0
6,7,2892.2064146995544,0.0
7,8,2767.744267463684,0.0
8,9,2891.5091032981873,0.0
9,10,2734.462089776993,2581.984039545059
10,11,2515.7550055980682,0.0
11,12,2900.45583486557,0.0
12,13,2756.154441833496,0.0
13,14,3100.919575214386,0.0
14,15,3019.262320995331,0.0
15,16,3069.4734802246094,0.0
16,17,2844.095986366272,0.0
17,18,3231.6749744415283,0.0
18,19,3375.205503463745,0.0
19,20,3495.540623188019,2651.506926059723
20,21,3439.707244157791,0.0
21,22,3390.6622111797333,0.0
22,23,3152.8874595165253,0.0
23,24,3131.438230037689,0.0
24,25,3237.309014081955,0.0
25,26,2612.811312675476,0.0
26,27,3331.702094078064,0.0
27,28,3109.4276175498962,0.0
28,29,2915.341779947281,0.0
29,30,3546.895151615143,2588.0265431404114
30,31,3229.0223755836487,0.0
31,32,3318.4915623664856,0.0
32,33,2955.7955253124237,0.0
33,34,3682.852458000183,0.0
34,35,3352.820899248123,0.0
35,36,4041.7939558029175,0.0
36,37,4026.6126556396484,0.0
37,38,2951.24023103714,0.0
38,39,3161.2609832286835,0.0
39,40,3430.5078983306885,2388.148913860321
40,41,3539.003385782242,0.0
41,42,3979.252691268921,0.0
42,43,3367.2055847644806,0.0
43,44,3536.8131680488586,0.0
44,45,3552.406242609024,0.0
45,46,3223.387216091156,0.0
46,47,3497.7848315238953,0.0
47,48,3102.9609909057617,0.0
48,49,2389.368408203125,0.0
49,50,3968.143610715866,2609.3577756881714
